field_name_1,ticker,title,description,author,url,source,timestamp,published_at,sentiment
755854,ABBV,"With Solid Fourth Quarter Results, AbbVie Shows That Its Growth Days Are Far From Over","Despite Humira's declining international sales, AbbVie is still worth considering.",newsfeedback@fool.com (Prosper Junior Bakiny),https://www.fool.com/investing/2020/02/11/with-solid-fourth-quarter-results-abbvie-shows-tha.aspx,Fool.com,,2020-02-11T15:41:34Z,0.62
755855,ABBV,AbbVie to Present at the SVB Leerink 9th Annual Global Healthcare Conference,"AbbVie (NYSE: ABBV), a research-based global biopharmaceutical company, will participate in the SVB Leerink 9th Annual Global Healthcare Conference on Tuesday, February 25. Michael Severino, M.D., vice chairman and president and Robert A. Michael, executive v…",PR Newswire,https://news.yahoo.com/abbvie-present-svb-leerink-9th-130000313.html,Yahoo.com,,2020-02-11T13:00:00Z,0
755856,ABBV,"The Daily Biotech Pulse: LogicBio Slapped With Clinical Hold, Agile Inks Debt Deal Ahead of Twirla Approval, Gilead Builds Stake In Sierra Oncology","Here's a roundup of top developments in the biotech space over the last 24 hours. Scaling The Peaks (Biotech Stocks Hitting 52-week highs on Feb. 10) AbbVie Inc (NYSE: ABBV ) Allergan plc (NYSE: AGN ) ...",,https://finance.yahoo.com/news/daily-biotech-pulse-logicbio-slapped-122306131.html,Yahoo.com,,2020-02-11T12:23:06Z,0.34
756177,LLY,"Lilly's Taltz OK'd in Canada for arthritis of the spine","<ul><li>Health Canada has <a href=""https://seekingalpha.com/pr/17774824-health-canada-approved-taltz-ixekizumab-for-treatment-of-active-ankylosing-spondylitis"" target=""_blank"">approved </a>Eli Lilly's (NYSE:<a href='https://seekingalpha.com/symbol/LLY' title=…",Douglas W. House,https://seekingalpha.com/news/3540423-lillys-taltz-okd-in-canada-for-arthritis-of-spine,Seekingalpha.com,,2020-02-11T12:19:34Z,0
755544,LLY,BRIEF-Health Canada Has Approved Taltz For The Treatment Of Active Ankylosing Spondylitis,Eli Lilly and Co:,Reuters Editorial,https://uk.reuters.com/article/brief-health-canada-has-approved-taltz-f-idUKFWN2AB0FF,Reuters,,2020-02-11T11:54:25Z,0.67
753668,ABBV,"How Allergan Beat Estimates in What's Likely Its Last Quarterly Update",The drugmaker delivered solid top- and bottom-line improvement as it awaited the closing of its acquisition by AbbVie.,newsfeedback@fool.com (Keith Speights),https://www.fool.com/investing/2020/02/10/how-allergan-beat-estimates-in-whats-likely-its-la.aspx,Fool.com,,2020-02-10T18:00:00Z,0.65
753669,ABBV,Allergan Reports Fourth-Quarter 2019 Results That Plow Past Expectations,The maker of Botox appears to be on an upswing just ahead of its megamerger with AbbVie.,newsfeedback@fool.com (Cory Renauer),https://www.fool.com/investing/2020/02/10/allergan-reports-fourth-quarter-2019-results-that.aspx,Fool.com,,2020-02-10T17:24:00Z,0
753814,BMY,Bristol-Myers Squibb Stock Is Too Cheap to Ignore,The acquisition of Celgene is working wonders so far.,newsfeedback@fool.com (Prosper Junior Bakiny),https://www.fool.com/investing/2020/02/10/bristol-myers-squibb-stock-is-too-cheap-to-ignore.aspx,Fool.com,,2020-02-10T17:17:25Z,0
754060,LLY,"Eli Lilly, Roche Drugs Fail to Move Needle in Genetically-Driven Alzheimer’s","<p>Two experimental drugs from Eli Lilly and Roche have failed a clinical trial testing them as treatments for a form of Alzheimer’s disease caused by certain genetic mutations, the companies reported Monday. The study, sponsored by Washington University, tes…",Frank Vinluan,https://xconomy.com/national/2020/02/10/eli-lilly-roche-drugs-fail-to-move-needle-in-genetically-driven-alzheimers/,Xconomy.com,,2020-02-10T15:14:26Z,-0.69
754061,LLY,"Roche, Lilly drugs fail to halt gene-driven Alzheimer's disease","Experimental drugs from Roche and Eli Lilly failed to halt Alzheimer's disease in their latest test, the companies said on Monday, in a blow to people whose genes make them particularly vulnerable to the illness.",John Miller,https://in.reuters.com/article/roche-alzheimers-idINKBN2041G3,Reuters,,2020-02-10T14:55:23Z,-0.89
754062,LLY,"Thinking about buying stock in L Brands, Eli Lilly, Netflix, Tesla, or Xylem?","NEW YORK, Feb. 10, 2020 InvestorsObserver issues critical PriceWatch Alerts for LB, LLY, NFLX, TSLA, and XYL. To see how InvestorsObserver's proprietary scoring system rates these stocks, view the InvestorsObserver's PriceWatch Alert by selecting the correspo…",,https://www.prnewswire.com/news-releases/thinking-about-buying-stock-in-l-brands-eli-lilly-netflix-tesla-or-xylem-301001898.html,Prnewswire.com,,2020-02-10T14:31:00Z,-0.03
753670,ABBV,"Top Analyst Upgrades and Downgrades: AbbVie, Apple, Arch Coal, FedEx, Ford, GM, Nvidia, Skyworks, Stitch Fix, WWE and More","Monday's top analyst upgrades, downgrades and initiations included AbbVie, Apple, Arch Coal, FedEx, Ford, General Motors, Nvidia, Skyworks Solutions, Stitch Fix and World Wrestling Entertainment.",Jon C. Ogg,https://247wallst.com/investing/2020/02/10/top-analyst-upgrades-and-downgrades-abbvie-apple-arch-coal-fedex-ford-gm-nvidia-skyworks-stitch-fix-wwe-and-more/,247wallst.com,,2020-02-10T14:00:31Z,0.73
754258,PRGO,Perrigo: Hold Until Certainty Returns,"With reported sales expanding in 2019, after back-to-back declines, Perrigo is rallying this year.However, the outlook remains uncertain amid the ongoing tax disputes and stagnant organic sales growth.The consumer-focused transformation looks unclear with no …",Dulan Lokuwithana,https://seekingalpha.com/article/4322763-perrigo-hold-until-certainty-returns,Seekingalpha.com,,2020-02-10T13:59:17Z,-0.67
